Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_State,Geo_tractcd,Geo_NHGISST,Geo_NHGISCTY,Geo_GISJOIN,Geo_GISJoin2,Geo_DECADE,Geo_state60,Geo_county60,Geo_Supp_trc_pcs_count,Geo_SuppFP_1,Geo_SuppFP_2,Geo_SuppFP_3,Geo_SuppFP_4,Geo_SuppFP_5,Geo_Supp1,Geo_Supp2,Geo_Supp3,Geo_Supp4,Geo_Supp5,SE_T001_001,SE_T013_001,SE_T013_002,SE_T013_003,SE_T013_004,SE_T031_001,SE_T031_002,SE_T031_003,SE_T031_004,SE_T031_005,SE_T031_006,SE_T031_007,SE_T031_008,SE_T031_009,SE_T032_001,SE_T032_002,SE_T032_003,SE_T032_004,SE_T032_005,SE_T032_006,SE_T032_007,SE_T032_008,SE_T032_009,SE_T033_001,SE_T033_002,SE_T033_003,SE_T033_004,SE_T033_005,SE_T033_006,SE_T033_007,SE_T033_008,SE_T033_009,SE_T089_001,SE_T089_002,SE_T089_003,SE_T089_004,SE_T089_005,SE_T089_006,SE_T089_007,SE_T089_008,SE_T089_009,SE_T089_010,SE_T089_011,SE_T089_012,SE_T089_013,SE_T089_014,SE_T105_001,SE_T111_001,SE_T111_002,SE_T111_003,SE_T116_001,SE_T116_002,SE_T116_003,SE_T116_004,SE_T116_005,SE_T116_006,SE_T116_007,SE_T116_008,SE_T116_009,SE_T116_010,SE_T116_011
"Census Tract BJ001100","Census Tract BJ001100, Burlington County, New Jersey","140","340050BJ001100","34","0BJ0011000","340","0050","G3400050BJ0011","3400050BJ0011","1960","22","003",1,0,0,0,0,1,0,0,0,0,1,6291,6291,6245,41,5,1505,1458,582,1014,991,834,260,2354,2219,1501,1454,582,1014,987,834,260,2342,2219,4,4,0,0,4,0,0,12,0,1820,82,77,94,133,167,230,237,169,174,140,255,58,4,1854,1671,1439,232,1772,1671,1439,1436,3,232,225,7,101,19,82
"Census Tract BJ001200","Census Tract BJ001200, Burlington County, New Jersey","140","340050BJ001200","34","0BJ0012000","340","0050","G3400050BJ0012","3400050BJ0012","1960","22","003",1,0,0,0,0,0,0,0,0,0,0,12687,12687,9931,2739,17,3278,3113,1086,2012,1722,1443,972,5429,4407,2781,2648,902,1721,1469,1237,778,4319,3640,497,465,184,291,253,206,194,1110,767,3978,338,244,348,485,488,505,377,368,276,169,278,97,5,3883,3662,2655,1007,3754,3662,2655,2237,418,1007,760,247,92,67,25
"Census Tract BJ001300","Census Tract BJ001300, Burlington County, New Jersey","140","340050BJ001300","34","0BJ0013000","340","0050","G3400050BJ0013","3400050BJ0013","1960","22","003",1,0,0,0,0,0,0,0,0,0,0,8127,8127,7616,509,2,2105,1952,604,1140,1054,840,386,2849,2482,2016,1871,569,1083,1006,806,358,2627,2313,89,81,35,57,48,34,28,222,169,2525,167,118,163,143,268,370,407,206,137,141,324,65,16,2511,2422,1987,435,2475,2422,1998,1926,72,424,383,41,53,38,15
"Census Tract BJ001400","Census Tract BJ001400, Burlington County, New Jersey","140","340050BJ001400","34","0BJ0014000","340","0050","G3400050BJ0014","3400050BJ0014","1960","22","003",1,0,0,0,0,1,0,0,0,0,1,2084,2084,2038,44,2,492,467,186,338,259,234,120,784,729,481,456,175,327,248,223,116,750,699,11,11,11,11,11,11,4,34,30,615,65,41,82,46,63,75,46,56,31,17,60,28,5,617,579,410,169,597,579,410,408,2,169,161,8,18,12,6
"Census Tract BJ002000","Census Tract BJ002000, Burlington County, New Jersey","140","340050BJ002000","34","0BJ0020000","340","0050","G3400050BJ0020","3400050BJ0020","1960","22","003",1,0,0,0,0,0,0,0,0,0,0,28528,28528,25910,2346,272,891,887,416,708,766,612,27296,3451,2006,795,791,363,636,681,551,25188,3038,1713,96,96,53,72,85,61,2108,413,293,25922,6141,7309,4538,3644,2092,942,475,253,174,104,172,62,16,855,822,73,749,850,822,73,67,6,749,660,89,28,28,0
"Census Tract BJ002100","Census Tract BJ002100, Burlington County, New Jersey","140","340050BJ002100","34","0BJ0021000","340","0050","G3400050BJ0021","3400050BJ0021","1960","22","003",1,0,0,0,0,0,0,0,0,0,0,4846,4846,3944,658,244,1445,1430,834,1080,1317,1017,136,2559,2498,1245,1230,715,933,1122,870,128,2106,2054,200,200,119,147,195,147,8,453,444,1398,31,32,195,507,282,107,90,34,19,36,52,8,5,1435,1341,65,1276,1424,1341,65,63,2,1276,1074,202,83,83,0
"Census Tract BJ002400","Census Tract BJ002400, Burlington County, New Jersey","140","340050BJ002400","34","0BJ0024000","340","0050","G3400050BJ0024","3400050BJ0024","1960","22","003",1,0,0,0,0,1,0,0,0,0,1,1956,1956,1930,21,5,455,433,171,268,231,191,87,768,680,448,426,171,265,231,191,87,760,672,7,7,0,3,0,0,0,8,8,555,63,32,56,45,91,67,33,29,30,31,57,21,0,564,523,365,158,533,523,365,364,1,158,152,6,10,7,3
"Census Tract CJ000100","Census Tract CJ000100, Camden County, New Jersey","140","340070CJ000100","34","0CJ0001000","340","0070","G3400070CJ0001","3400070CJ0001","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,3570,3570,3244,309,17,806,760,307,501,395,335,171,1456,1124,759,718,280,470,353,304,165,1286,1044,47,42,27,31,42,31,6,170,80,1056,91,82,79,110,180,171,81,83,71,41,52,15,0,1077,1017,853,164,1064,1017,853,813,40,164,133,31,47,23,24
"Census Tract CJ000200","Census Tract CJ000200, Camden County, New Jersey","140","340070CJ000200","34","0CJ0002000","340","0070","G3400070CJ0002","3400070CJ0002","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,5359,5359,5334,12,13,1142,1090,389,683,579,508,306,1966,1643,1138,1086,389,679,579,508,306,1958,1639,4,4,0,4,0,0,0,8,4,1681,259,168,114,198,188,205,170,127,78,44,110,20,0,1605,1555,1042,513,1591,1555,1042,1038,4,513,510,3,36,9,27
"Census Tract CJ000300","Census Tract CJ000300, Camden County, New Jersey","140","340070CJ000300","34","0CJ0003000","340","0070","G3400070CJ0003","3400070CJ0003","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,4353,4353,4347,4,2,1079,1045,337,647,576,502,144,1554,1481,1079,1045,337,647,576,502,144,1554,1481,0,0,0,0,0,0,0,0,0,1276,62,74,49,108,129,194,184,119,99,78,153,27,0,1259,1235,1054,181,1243,1235,1054,1053,1,181,180,1,8,5,3
"Census Tract CJ000400","Census Tract CJ000400, Camden County, New Jersey","140","340070CJ000400","34","0CJ0004000","340","0070","G3400070CJ0004","3400070CJ0004","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,4276,4276,3796,478,2,972,920,277,509,470,396,444,1610,1097,877,842,243,458,411,345,399,1440,1007,95,78,34,51,59,51,45,170,90,1471,235,194,185,185,142,165,71,73,59,69,69,24,0,1443,1421,648,773,1428,1421,648,555,93,773,756,17,7,5,2
"Census Tract CJ000500","Census Tract CJ000500, Camden County, New Jersey","140","340070CJ000500","34","0CJ0005000","340","0070","G3400070CJ0005","3400070CJ0005","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,11761,11761,11598,139,24,2968,2910,1066,1740,1566,1305,545,4021,3547,2950,2892,1062,1736,1563,1305,534,3952,3524,18,18,4,4,3,0,11,69,23,3843,321,242,277,387,476,544,354,343,219,161,412,91,16,3824,3702,2211,1491,3780,3702,2211,2191,20,1491,1478,13,78,60,18
"Census Tract CJ000600","Census Tract CJ000600, Camden County, New Jersey","140","340070CJ000600","34","0CJ0006000","340","0070","G3400070CJ0006","3400070CJ0006","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,6582,6582,6582,0,0,1673,1641,490,875,805,645,387,1899,1750,1673,1641,490,875,805,645,387,1899,1750,0,0,0,0,0,0,0,0,0,2228,135,132,132,204,231,347,302,201,185,106,196,53,4,2183,2131,1622,509,2174,2131,1622,1622,0,509,509,0,43,26,17
"Census Tract CJ000700","Census Tract CJ000700, Camden County, New Jersey","140","340070CJ000700","34","0CJ0007000","340","0070","G3400070CJ0007","3400070CJ0007","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,5304,5304,3979,1315,10,1077,997,382,616,667,511,1463,1888,1332,842,788,267,453,474,361,1377,1376,966,235,209,115,163,193,150,86,512,366,2426,450,230,236,309,413,295,164,125,52,35,86,31,0,1730,1603,839,764,1704,1603,839,641,198,764,654,110,101,59,42
"Census Tract CJ000800","Census Tract CJ000800, Camden County, New Jersey","140","340070CJ000800","34","0CJ0008000","340","0070","G3400070CJ0008","3400070CJ0008","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,4469,4469,3900,561,8,942,896,388,599,543,445,315,2159,1853,851,809,336,537,471,387,303,1835,1589,91,87,52,62,72,58,12,324,264,1302,165,95,158,206,196,169,87,57,64,20,76,9,0,1318,1211,700,511,1276,1211,700,668,32,511,416,95,65,41,24
"Census Tract CJ000900","Census Tract CJ000900, Camden County, New Jersey","140","340070CJ000900","34","0CJ0009000","340","0070","G3400070CJ0009","3400070CJ0009","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,5041,5041,4482,489,70,1083,1041,441,689,584,530,438,2163,1717,1007,969,378,613,516,462,407,1838,1456,76,72,63,76,68,68,31,325,261,1609,111,149,164,136,249,265,177,91,80,53,91,43,0,1562,1445,1038,407,1518,1445,1038,982,56,407,348,59,73,40,33
"Census Tract CJ001000","Census Tract CJ001000, Camden County, New Jersey","140","340070CJ001000","34","0CJ0010000","340","0070","G3400070CJ0010","3400070CJ0010","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,4172,4172,1389,2728,55,1177,1102,333,562,544,398,788,2612,1569,728,679,184,322,303,218,521,1450,894,449,423,149,240,241,180,267,1162,675,1488,221,216,160,233,253,155,62,45,40,39,42,22,0,1391,1275,665,610,1347,1275,665,299,366,610,221,389,72,46,26
"Census Tract CJ0011A0","Census Tract CJ0011A0, Camden County, New Jersey","140","340070CJ0011A0","34","0CJ001100A","340","0070","G3400070CJ0011A","3400070CJ0011A","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,1371,1371,744,599,28,286,262,97,168,174,138,432,725,492,195,183,57,115,111,90,289,485,344,91,79,40,53,63,48,143,240,148,542,80,96,111,91,85,29,19,13,11,4,3,0,0,433,404,166,238,418,404,166,114,52,238,104,134,14,13,1
"Census Tract CJ0011B0","Census Tract CJ0011B0, Camden County, New Jersey","140","340070CJ0011B0","34","0CJ001100B","340","0070","G3400070CJ0011B","3400070CJ0011B","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,3404,3399,1960,1426,13,731,697,216,333,426,265,950,1712,911,519,496,146,238,290,185,769,1119,664,212,201,70,95,136,80,181,593,247,1445,253,214,250,215,173,109,90,46,29,0,43,23,0,1469,1272,285,987,1383,1272,285,193,92,987,645,342,111,97,14
"Census Tract CJ0012A0","Census Tract CJ0012A0, Camden County, New Jersey","140","340070CJ0012A0","34","0CJ001200A","340","0070","G3400070CJ0012A","3400070CJ0012A","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,1695,1695,1025,664,6,434,388,161,260,229,210,201,859,672,333,299,112,187,168,153,130,590,490,101,89,49,73,61,57,71,269,182,519,40,36,95,60,84,57,42,49,21,6,26,3,0,501,477,318,159,494,477,318,228,90,159,84,75,17,11,6
"Census Tract CJ0012B0","Census Tract CJ0012B0, Camden County, New Jersey","140","340070CJ0012B0","34","0CJ001200B","340","0070","G3400070CJ0012B","3400070CJ0012B","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,2234,2234,1137,1095,2,543,532,183,393,301,266,187,1578,1162,371,364,127,266,211,188,109,1036,798,172,168,56,127,90,78,78,542,364,576,36,64,59,136,67,78,50,32,18,8,20,8,0,575,535,368,167,563,535,368,236,132,167,47,120,28,19,9
"Census Tract CJ001300","Census Tract CJ001300, Camden County, New Jersey","140","340070CJ001300","34","0CJ0013000","340","0070","G3400070CJ0013","3400070CJ0013","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,2593,2593,471,2103,19,645,620,282,358,368,275,495,2101,1321,367,350,152,196,199,146,282,1110,701,278,270,130,162,169,129,213,991,620,828,164,121,167,114,86,82,38,26,9,9,8,4,0,779,680,308,372,699,680,308,85,223,372,46,326,19,14,5
"Census Tract CJ001400","Census Tract CJ001400, Camden County, New Jersey","140","340070CJ001400","34","0CJ0014000","340","0070","G3400070CJ0014","3400070CJ0014","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,4074,4074,2927,1136,11,989,902,290,499,493,370,485,1752,1241,833,765,221,401,379,289,376,1245,924,156,137,69,98,114,81,109,507,317,1316,275,121,118,132,180,150,96,70,62,38,57,17,0,1226,1165,699,466,1206,1165,699,594,105,466,282,184,41,29,12
"Census Tract CJ001500","Census Tract CJ001500, Camden County, New Jersey","140","340070CJ001500","34","0CJ0015000","340","0070","G3400070CJ0015","3400070CJ0015","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,3479,3479,1140,2297,42,960,910,290,445,425,301,614,1964,1114,615,580,176,291,265,192,356,1133,681,345,330,114,154,160,109,258,831,433,1183,223,109,140,196,142,84,87,48,36,50,56,12,0,1068,1019,644,375,1037,1019,644,258,386,375,115,260,18,9,9
"Census Tract CJ001600","Census Tract CJ001600, Camden County, New Jersey","140","340070CJ001600","34","0CJ0016000","340","0070","G3400070CJ0016","3400070CJ0016","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,3442,3442,1181,2225,36,1008,985,248,563,463,379,687,2127,1454,649,626,145,337,276,221,398,1214,830,359,359,103,226,187,158,289,913,624,1152,201,103,121,134,172,111,112,47,72,16,59,4,0,1006,963,671,292,986,963,671,273,398,292,102,190,23,16,7
"Census Tract CJ0017A0","Census Tract CJ0017A0, Camden County, New Jersey","140","340070CJ0017A0","34","0CJ001700A","340","0070","G3400070CJ0017A","3400070CJ0017A","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,775,775,176,590,9,209,209,51,67,82,51,222,515,230,126,126,29,37,47,29,123,271,121,83,83,22,30,35,22,99,244,109,298,61,26,68,33,63,23,0,6,8,0,10,0,0,252,245,127,118,245,245,127,45,82,118,24,94,0,0,0
"Census Tract CJ0017B0","Census Tract CJ0017B0, Camden County, New Jersey","140","340070CJ0017B0","34","0CJ001700B","340","0070","G3400070CJ0017B","3400070CJ0017B","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,3585,3585,1630,1946,9,1031,980,348,519,537,383,316,2055,1293,695,652,223,349,335,251,198,1268,859,336,328,125,170,202,132,118,787,434,1081,125,142,81,124,121,145,109,57,48,60,57,12,0,1069,988,544,444,1035,988,544,345,199,444,126,318,47,32,15
"Census Tract CJ001800","Census Tract CJ001800, Camden County, New Jersey","140","340070CJ001800","34","0CJ0018000","340","0070","G3400070CJ0018","3400070CJ0018","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,6715,6715,2471,4235,9,1630,1606,784,1117,981,893,737,4977,3262,1069,1053,473,699,622,553,482,2853,1946,561,553,311,418,359,340,255,2124,1316,1989,363,197,252,270,281,223,129,96,75,33,66,4,0,1898,1820,798,1022,1847,1820,798,588,210,1022,191,831,27,14,13
"Census Tract CJ001900","Census Tract CJ001900, Camden County, New Jersey","140","340070CJ001900","34","0CJ0019000","340","0070","G3400070CJ0019","3400070CJ0019","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,3373,3373,2490,876,7,965,922,302,512,546,410,354,1209,1006,752,717,200,384,390,290,302,898,727,213,205,102,128,156,120,52,311,279,1199,182,94,132,121,151,135,67,113,58,27,103,12,4,1046,1025,731,294,1040,1025,731,635,96,294,128,166,15,11,4
"Census Tract CJ002000","Census Tract CJ002000, Camden County, New Jersey","140","340070CJ002000","34","0CJ0020000","340","0070","G3400070CJ0020","3400070CJ0020","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,6437,6437,4302,2118,17,1937,1876,658,1114,1138,864,422,2855,2436,1520,1468,467,839,804,622,364,1964,1695,417,408,191,275,334,242,58,891,741,2094,169,165,96,189,207,289,198,154,181,93,271,61,21,2058,1967,1460,507,2038,1967,1460,1015,445,507,424,83,71,31,40
"Census Tract CJ002100","Census Tract CJ002100, Camden County, New Jersey","140","340070CJ002100","34","0CJ0021000","340","0070","G3400070CJ0021","3400070CJ0021","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,3149,3149,3113,32,4,757,709,170,436,345,286,206,834,772,750,702,166,432,338,282,206,826,768,7,7,4,4,7,4,0,8,4,1085,83,57,72,117,157,167,134,92,48,35,95,20,8,1046,1002,832,170,1032,1002,832,826,6,170,165,5,30,12,18
"Census Tract CJ002200","Census Tract CJ002200, Camden County, New Jersey","140","340070CJ002200","34","0CJ0022000","340","0070","G3400070CJ0022","3400070CJ0022","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,4192,4192,4179,13,0,1060,991,229,572,447,378,173,1178,1008,1055,986,229,567,442,373,173,1173,1003,5,5,0,5,5,5,0,5,5,1343,105,76,64,135,149,162,179,129,88,101,119,36,0,1342,1304,1181,123,1328,1304,1181,1177,4,123,123,0,24,11,13
"Census Tract CJ002300","Census Tract CJ002300, Camden County, New Jersey","140","340070CJ002300","34","0CJ0023000","340","0070","G3400070CJ0023","3400070CJ0023","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,4565,4561,4502,59,0,1157,1125,455,729,665,579,193,1537,1355,1139,1112,448,722,653,572,186,1530,1348,18,13,7,7,12,7,7,7,7,1453,89,90,67,84,234,234,211,134,114,63,126,4,3,1462,1394,881,513,1458,1394,881,874,7,513,509,4,64,39,25
"Census Tract CJ002400","Census Tract CJ002400, Camden County, New Jersey","140","340070CJ002400","34","0CJ0024000","340","0070","G3400070CJ0024","3400070CJ0024","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,7108,7108,7097,0,11,1841,1799,458,933,850,687,411,2099,1889,1841,1799,458,933,850,687,411,2099,1889,0,0,0,0,0,0,0,0,0,2446,142,144,119,174,269,417,370,260,153,134,222,30,12,2393,2353,1867,486,2376,2353,1867,1864,3,486,485,1,23,11,12
"Census Tract CJ004000","Census Tract CJ004000, Camden County, New Jersey","140","340070CJ004000","34","0CJ0040000","340","0070","G3400070CJ0040","3400070CJ0040","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,1973,1973,1971,1,1,493,469,113,239,221,178,121,577,537,493,469,113,239,221,178,121,577,537,0,0,0,0,0,0,0,0,0,666,24,45,39,48,63,66,97,46,67,38,118,15,0,622,622,515,107,628,622,515,515,0,107,107,0,6,3,3
"Census Tract CJ004900","Census Tract CJ004900, Camden County, New Jersey","140","340070CJ004900","34","0CJ0049000","340","0070","G3400070CJ0049","3400070CJ0049","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,4459,4459,4451,0,8,954,908,287,531,425,355,282,1504,1358,954,908,287,531,425,355,282,1504,1358,0,0,0,0,0,0,0,0,0,1376,107,105,99,105,157,206,132,129,104,84,115,29,4,1319,1268,948,320,1298,1268,948,947,1,320,320,0,30,21,9
"Census Tract CJ005000","Census Tract CJ005000, Camden County, New Jersey","140","340070CJ005000","34","0CJ0050000","340","0070","G3400070CJ0050","3400070CJ0050","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,4517,4516,4508,3,5,891,865,318,572,473,423,388,1575,1302,891,865,318,572,473,423,388,1575,1302,0,0,0,0,0,0,0,0,0,1448,209,114,129,124,146,198,169,101,89,57,79,29,4,1334,1252,864,388,1285,1252,864,864,0,388,387,1,33,23,10
"Census Tract CJ005100","Census Tract CJ005100, Camden County, New Jersey","140","340070CJ005100","34","0CJ0051000","340","0070","G3400070CJ0051","3400070CJ0051","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,2947,2947,2940,0,7,738,717,214,413,328,277,133,951,876,738,717,214,413,328,277,133,951,876,0,0,0,0,0,0,0,0,0,943,71,52,43,59,104,126,170,95,53,51,115,4,0,936,902,761,141,919,902,761,761,0,141,140,1,17,11,6
"Census Tract CJ005200","Census Tract CJ005200, Camden County, New Jersey","140","340070CJ005200","34","0CJ0052000","340","0070","G3400070CJ0052","3400070CJ0052","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,3538,3538,3525,0,13,894,877,345,578,595,498,172,1308,1222,894,877,345,578,595,498,172,1308,1222,0,0,0,0,0,0,0,0,0,1115,69,36,41,89,132,187,147,126,89,51,132,16,0,1090,1056,682,374,1068,1056,682,682,0,374,371,3,12,9,3
"Census Tract CJ005300","Census Tract CJ005300, Camden County, New Jersey","140","340070CJ005300","34","0CJ0053000","340","0070","G3400070CJ0053","3400070CJ0053","1960","22","004",1,0,0,0,0,1,0,0,0,0,1,2504,2504,2503,0,1,653,626,205,385,364,309,99,866,836,653,626,205,385,364,309,95,866,836,0,0,0,0,0,0,4,0,0,784,41,17,37,69,40,130,145,100,59,76,58,12,0,767,755,565,190,757,755,565,565,0,190,190,0,2,1,1
"Census Tract CJ006500","Census Tract CJ006500, Camden County, New Jersey","140","340070CJ006500","34","0CJ0065000","340","0070","G3400070CJ0065","3400070CJ0065","1960","22","004",1,0,0,0,0,0,0,0,0,0,0,2165,2165,60,2100,5,781,707,251,377,413,297,472,1410,882,397,360,128,195,213,155,236,718,451,384,347,123,182,200,142,236,692,431,709,122,88,58,109,116,81,45,32,27,15,8,8,0,631,584,470,114,594,584,470,20,450,114,2,112,10,2,8
